"Bestand","RelatiefPad","GrootteKB"
"ADR-001-ONE_OWNER.md","docs\architecture\adr\ADR-001-ONE_OWNER.md","0,4"
"ADR-002-MATRIX_CORE_IS_OS.md","docs\architecture\adr\ADR-002-MATRIX_CORE_IS_OS.md","0,5"
"ADR-003-MISSIONS_DESCRIBE_GOALS.md","docs\architecture\adr\ADR-003-MISSIONS_DESCRIBE_GOALS.md","0,5"
"ADR-004-SECOND_BRAIN_IS_CORE.md","docs\architecture\adr\ADR-004-SECOND_BRAIN_IS_CORE.md","0,4"
"ADR-005-PRODUCTION_OVER_CONVERSATION.md","docs\architecture\adr\ADR-005-PRODUCTION_OVER_CONVERSATION.md","0,4"
"ADR-006-ROLE_COMMUNICATION.md","docs\architecture\adr\ADR-006-ROLE_COMMUNICATION.md","0,4"
"ADR-007-QUALITY_GATE.md","docs\architecture\adr\ADR-007-QUALITY_GATE.md","0,4"
"ADR-008-HUMAN_APPROVAL.md","docs\architecture\adr\ADR-008-HUMAN_APPROVAL.md","0,4"
"ADR-009-KNOWLEDGE_OWNERSHIP.md","docs\architecture\adr\ADR-009-KNOWLEDGE_OWNERSHIP.md","0,5"
"AGENT_SPECIFICATIONS.md","docs\architecture\AGENT_SPECIFICATIONS.md","1,6"
"DATA_MODEL.md","docs\architecture\DATA_MODEL.md","2"
"EVENT_MODEL.md","docs\architecture\EVENT_MODEL.md","1,6"
"GLOSSARY.md","docs\architecture\GLOSSARY.md","1"
"MEMORY_MODEL.md","docs\architecture\MEMORY_MODEL.md","0,8"
"MISSION_ENGINE.md","docs\architecture\MISSION_ENGINE.md","1,3"
"ORCHESTRATION_MODEL.md","docs\architecture\ORCHESTRATION_MODEL.md","0,9"
"PERMISSION_MODEL.md","docs\architecture\PERMISSION_MODEL.md","0,9"
"README.md","docs\architecture\README.md","1,2"
"ROLE_MODEL.md","docs\architecture\ROLE_MODEL.md","0,8"
"SECOND_BRAIN.md","docs\architecture\SECOND_BRAIN.md","1,2"
"SECURITY_MODEL.md","docs\architecture\SECURITY_MODEL.md","1,2"
"TECHNICAL_ARCHITECTURE.md","docs\architecture\TECHNICAL_ARCHITECTURE.md","1,6"
"THE_DOST_MATRIX_ARCHITECTURE.md","docs\architecture\THE_DOST_MATRIX_ARCHITECTURE.md","2"
"THE_DOST_MATRIX_PRINCIPLES.md","docs\architecture\THE_DOST_MATRIX_PRINCIPLES.md","2,5"
"ARCHITECTURE_REVIEW_V2.md","docs\architecture-v2\ARCHITECTURE_REVIEW_V2.md","2,3"
"CANONICAL_CONTRACTS_V2.md","docs\architecture-v2\CANONICAL_CONTRACTS_V2.md","2,1"
"DIRECTOR_ARCHITECTURE.md","docs\architecture-v2\DIRECTOR_ARCHITECTURE.md","2,5"
"EVENT_RESULT_AUDIT_ARCHITECTURE.md","docs\architecture-v2\EVENT_RESULT_AUDIT_ARCHITECTURE.md","2,2"
"EXPERIENCE_ENGINE_ARCHITECTURE.md","docs\architecture-v2\EXPERIENCE_ENGINE_ARCHITECTURE.md","2,3"
"MATRIX_CORE_V2_ARCHITECTURE.md","docs\architecture-v2\MATRIX_CORE_V2_ARCHITECTURE.md","3,6"
"MATRIX_MANIFEST.md","docs\architecture-v2\MATRIX_MANIFEST.md","2,2"
"MISSION_ENGINE_ARCHITECTURE.md","docs\architecture-v2\MISSION_ENGINE_ARCHITECTURE.md","2,4"
"MODEL_ROUTER_ARCHITECTURE.md","docs\architecture-v2\MODEL_ROUTER_ARCHITECTURE.md","2,5"
"OWNER_STRATEGY_LAYER_ARCHITECTURE.md","docs\architecture-v2\OWNER_STRATEGY_LAYER_ARCHITECTURE.md","2,2"
"ROLE_SYSTEM_ARCHITECTURE.md","docs\architecture-v2\ROLE_SYSTEM_ARCHITECTURE.md","2,4"
"SECOND_BRAIN_ARCHITECTURE.md","docs\architecture-v2\SECOND_BRAIN_ARCHITECTURE.md","2,2"
"SECURITY_POLICY_ARCHITECTURE.md","docs\architecture-v2\SECURITY_POLICY_ARCHITECTURE.md","2,2"
"ADR-001-firebase.md","docs\decisions\ADR-001-firebase.md","0,7"
"PHASE_1_CANONICAL_CONTRACTS.md","docs\implementation\PHASE_1_CANONICAL_CONTRACTS.md","0,6"
"PHASE_2_MISSION_ENGINE.md","docs\implementation\PHASE_2_MISSION_ENGINE.md","1,3"
"KNOWLEDGE_FOUNDATION_V0.4.0.md","KNOWLEDGE_FOUNDATION_V0.4.0.md","0,8"
